上平町,,,上平ウワダイラ
永安町,,,南小立野
枝町,,,新竪町
榎尾町,,,花園
円光寺町,,ﾛ､ﾊ､ﾅ､,富樫
,,ﾆ,伏見台
円光寺1丁目,,,長坂台
円光寺2丁目,,,長坂台
円光寺3丁目,,,富樫
円光寺本町,,,富樫
駅西本町1丁目,1,,長田町
,2,,長田町
,3,1〜 3,長田町
,,4〜34,戸板
,,35〜44,長田町
,4,,戸板
,5,1〜 7,長田町
,,8〜27,戸板
,,28〜,長田町
,6,,
,〜,,長田町
,14,,
,15,1〜43,長田町
駅西本町2丁目,1,,
,〜,,戸板
,6,,
,7,,長田町
,8,,長田町
,9,,戸板
,10,,
,〜,,長田町
,12,,
駅西本町3丁目,,,戸板
駅西本町4丁目,,,戸板
駅西本町5丁目,,,戸板
駅西本町6丁目,1,,
,〜,,戸板
,14,,
,15,1〜 5,戸板
,,6〜17,大徳
,15,18〜49,戸板
駅西新町1丁目,1,,
,〜,,西
,38,,
,39,1〜9,西
,,10〜25,諸江町
,,26〜30,西
駅西新町2丁目,1,,
,〜,,西
,7,,
,8,1〜10,西
,,11〜25,諸江町
,,26〜30,西
,9,1〜11,西
,,12〜21,諸江町
,,22〜27,西
,10,1〜17,西
,,18〜20,諸江町
,,21〜28,西
,11,,
,〜,,西
,13,,
,14,1〜 6,諸江町
,,7〜14,西
,,15〜24,諸江町
,15,1〜16,諸江町
,,17〜25,西
,,26〜47,諸江町
,16,,
,〜,,西
,20,,
駅西新町3丁目,,,西
小池町,,,三谷
扇町,,,味噌蔵町
大浦町,,,大浦
大桑町,,ﾆ､ﾎ､ﾍ､　　　┓,
,,ﾄ､ﾁ､ﾘ､　　　┃,
,,ﾙ､ｦ､ﾜ､　　　┃,
,,ｶ､ﾖ､ﾀ､　　　┃,
,,ｿ､ﾅ､ﾗ､　　　┃,
,,ｳ､ｹ､ﾃ､　　　┃,
,,ｱ､ﾕ､ﾒ､　　　┃,
,,ｼ､庚､ﾚ甲　　┃,
,,ﾚ乙､ﾂ甲､　　┃,
,,ﾂ乙､ﾂ丙､　　┃,
,,ｵ乙､ｻ甲､　　┃,
,,ｻ乙､小寺山　┃,
,,上野､下上野 ┃,
,,中上野､     ┣,南小立野
,,鰈川淵､ 　　┃,
,,下葭島欠､ 　┃,
,,西ﾉ山､  　　┃,
,,上川原､  　 ┃,
,,法師山､     ┃,
,,元涌波庚､   ┃,
,,防山､鐘搗山 ┃,
,,穴淵欠､     ┃,
,,元末11      ┛,
,,ﾑ            ┓,
,,ｨ､ﾉ､ｸ､      ┃,
,,ﾔ､ﾏ､ﾛ甲     ┃,
,,ﾛ乙､開､     ┃,
,,中の大平､   ┃,
,,中平､       ┃,
,,上西欠､     ┣,十一屋
,,下西欠､     ┃,
,,上猫下､     ┃,
,,猫下､御所谷 ┃,
,,中尾山､和   ┛,
,,ｲ､ﾊ､､平,
大桑１丁目チョウメ,,,南小立野
大桑２丁目チョウメ,,,南小立野
大桑３丁目チョウメ,,,南小立野
大桑新町,,,南小立野
大手町,1,1、 2,味噌蔵町
,,3〜 8,松ケ枝マツガエ
,,9〜,味噌蔵町
,2,,
,〜,,味噌蔵町
,16,,
大友町,,,鞍月
大友オオトモ１丁目チョウメ,,,鞍月
大友オオトモ２丁目チョウメ,,,鞍月
大額町,,,額
大額１丁目,,,額
大額２丁目,,,額
大額３丁目,,,額
大野町1丁目,,,大野町
大野町2丁目,,,大野町
大野町3丁目,,,大野町
大野町4丁目,,,大野町
大野町5丁目,,,大野町
大野町6丁目,,,大野町
大野町7丁目,,,大野町
大野町新町,,,大野町
大場町,,,森本
大樋町,1,,
,〜,,森山町
,4,,
,5,1〜 8,小坂
,,9〜32,森山町
,,33〜,小坂
,6,1〜 4,小坂
,,5〜20,森山町
,,21〜33,小坂
,7,,
,〜,,森山町
,10,,
,11,1〜 6,森山町
,,7〜13,小坂
,,14〜58,森山町
,12,,
,〜,,小坂
,15,,
,16,,森山町
大平沢町,,,犀川
沖町,,,諸江町
奥新保町,,,医王山
大河端町,,,浅野川
押野１丁目,,,押野
押野２丁目,,,押野
押野３丁目,,,押野
鴛原町,,,犀川
乙丸町,,,浅野町
小原町,,,内川
大菱池町,,,湯涌
尾山町,,,松ケ枝マツガエ
折谷町,,,湯涌
尾張町1丁目,1,1〜 9,松ケ枝マツガエ
,,10〜,味噌蔵町
,2,,
,〜,,味噌蔵町
,6,,
,7,1〜 9,味噌蔵町
,,10〜14,材木町
,,15〜,味噌蔵町
,8,,
,〜,,味噌蔵町
,10,,
,11,1〜 6,松ケ枝マツガエ
,,7〜25,味噌蔵町
,,26、27,松ケ枝マツガエ
尾張町2丁目,1,,
,〜,,松ケ枝マツガエ
,5,,
,6,1〜21,瓢箪ヒョウタン
,,22〜52,味噌蔵町
,,53〜57,松ケ枝マツガエ
,7,1〜 6,松ケ枝マツガエ
,,7〜15,味噌蔵町
